generation,gwo_iteration,alpha_fitness,beta_fitness,delta_fitness,spread
3.0,1.0,0.8835113203321499,0.8821393378878476,0.8721872873591549,0.5501788113244923
3.0,2.0,0.8844091623912631,0.8835113203321499,0.8770386810942549,0.40934634009420995
3.0,3.0,0.8844091623912631,0.8809654217004335,0.8594601288430402,0.7898684459755977
3.0,4.0,0.8844091623912631,0.8820658800957215,0.8795442287673785,0.2082005221380242
3.0,5.0,0.8844091623912631,0.8761086475379782,0.8662010305051433,0.2917075270114951
3.0,6.0,0.8844091623912631,0.8798314788458613,0.8774093146577476,0.33726856944406264
3.0,7.0,0.8844091623912631,0.88285071796036,0.8748281687070453,0.438321254665839
3.0,8.0,0.8844091623912631,0.8776505597671331,0.86871236745753,0.4220888935845382
3.0,9.0,0.8844091623912631,0.8720963707374171,0.8692949386415034,0.4219373116751328
3.0,10.0,0.8844091623912631,0.8759479994758138,0.8588873609094149,0.4835458057218844
3.0,11.0,0.8844091623912631,0.8746709278955391,0.8482615614803851,0.4880288547006504
3.0,12.0,0.8875669490433518,0.8844091623912631,0.8723660205719869,0.25607421557208415
3.0,13.0,0.8875669490433518,0.8705153975941385,0.8692711824069095,0.3902886796528015
3.0,14.0,0.888172006764963,0.8875669490433518,0.885866783629576,0.3386356249769262
3.0,15.0,0.888172006764963,0.8745192153109687,0.8722801174923356,0.4058971809736082
3.0,16.0,0.8914451287641956,0.888172006764963,0.8867896749325821,0.27322610811926856
3.0,17.0,0.8914451287641956,0.8861728269967253,0.8845667238144026,0.22862400243544534
3.0,18.0,0.8914451287641956,0.8872583300907151,0.8839224569695638,0.14050045423643207
3.0,19.0,0.8914451287641956,0.8840266478838817,0.8802256130325254,0.19329484580951575
3.0,20.0,0.8914451287641956,0.8838111382932551,0.8793605674471134,0.11909075167566667
3.0,21.0,0.8914451287641956,0.8789718171395255,0.8774578299675303,0.12117482158117093
3.0,22.0,0.8914451287641956,0.8806610617285383,0.8776132904565971,0.09626990371542725
3.0,23.0,0.8914451287641956,0.887226075319074,0.8814530634111222,0.09766744638603762
3.0,24.0,0.8914451287641956,0.8865408130374058,0.8823319367305367,0.05857946063147732
3.0,25.0,0.8914451287641956,0.8871773764620491,0.8831257692262771,0.0553834237127279
6.0,1.0,0.8950404622804055,0.8861408852719462,0.8826414829906403,0.3925164130677424
6.0,2.0,0.8950404622804055,0.8868246746166756,0.8855838152061081,0.3734633704755768
6.0,3.0,0.8950404622804055,0.8865650403666976,0.8832035820732494,0.7086932853510444
6.0,4.0,0.8950404622804055,0.8836907953149306,0.8754433442282228,0.7258791022163186
6.0,5.0,0.8950404622804055,0.8791395031322127,0.8260023263881751,0.6949550326221766
6.0,6.0,0.8950404622804055,0.8771127345555982,0.8743202340440156,0.6425220773891863
6.0,7.0,0.8950404622804055,0.8767548248629999,0.8760941832981874,0.6706927329423107
6.0,8.0,0.8950404622804055,0.8818066861197605,0.8717028968568388,0.335765245214576
6.0,9.0,0.8950404622804055,0.8883130052215226,0.8731417249435518,0.3362787398900718
6.0,10.0,0.8950404622804055,0.8877233260403642,0.8706500775610391,0.34482843100284466
6.0,11.0,0.8950404622804055,0.8824886138509687,0.8787933057913305,0.2208453083338997
6.0,12.0,0.8950404622804055,0.8905999262271491,0.8828859845561168,0.20992785812802126
6.0,13.0,0.8950404622804055,0.8901063377444516,0.879090172433336,0.36583374363897336
6.0,14.0,0.8950404622804055,0.8861530397702134,0.8794714989758321,0.33729812258423547
6.0,15.0,0.8950404622804055,0.8851361657317336,0.8821979361192508,0.2939438886941941
6.0,16.0,0.8950404622804055,0.885575887009422,0.8683507924759827,0.36039435828748617
6.0,17.0,0.8950404622804055,0.8778889972736421,0.8761136630133459,0.275919546298459
6.0,18.0,0.8950404622804055,0.8854855152817709,0.8827008306289066,0.2679858190360154
6.0,19.0,0.8950404622804055,0.8795177030374877,0.879260175980568,0.16847167070474087
6.0,20.0,0.8950404622804055,0.876650335432028,0.8754220049297995,0.21206041108439988
6.0,21.0,0.8950404622804055,0.889049966596193,0.8773691516492208,0.1291819068169094
6.0,22.0,0.8950404622804055,0.8881535505099697,0.8870255140489695,0.127759846568934
6.0,23.0,0.8950404622804055,0.8820484248642192,0.8805578304250303,0.08684320910421733
6.0,24.0,0.8950404622804055,0.8929440757721165,0.8886031207466389,0.07160757545050098
6.0,25.0,0.8950404622804055,0.8854355612929835,0.8839646401697998,0.050591522513132
